id,address,first and middle names,occupation,surname
1,auf dem Römerberg,,"alle Gattung Strümpf Tücher, und Mode= waaren",Gebrüder Alleins
2,unter der neuen Kram,Silvester,in französischen Seiden- und Modewaaren,Aleßina u. Sohn Senior
3,unter der neuen Kräm,Franz,"in Wollenwaaren, und auch Achner Tüchern en gros",von Alphen
4,hinter dem Dom,,in Specereyen en gros,Gebrüder Ammelburg
5,auf der Friedberger Gaß,Georg Wolfgang,in Specerey- und Fettwaaren,"Ammelburg, seel. Frau Wittib"
6,in der Döngesgas,,"in Specerey = und Farbwaaren, en gros und en detail",Gebrüder Andreä
7,in der Mainzergaß,,,Andreäische Buchhandlung
8,in der Döngesgaß,,in französischen und englischen Galanterie= und Modewaaren en gros,Gebrüder Arbauer
9,auf dem Pfarr= eisen,Georg Christoph,"mit wollenen Strumpf und Kappen, seiden und brodirten Halstucher en detail",Arnold
10,im Nürnberger Hof,Johann Paul,"Hochgráfl. Erbachi= scher Agent, in Leder, und Lotterie = Collecten",Arnoldi
11,in der Buchgaß,Georg Bernhard,hat eine Caffafabrique,Artope
12,auf dem Markt,Johann Christoph,"in Specereyen, en gros und en detail",Augstell
13,in der Borngaß,Matthias Joseph,"in Specerey= und italianischen Waaren, en detail",Auer
14,an der Constabler Wach,Peter,in Ei= senwaaren,Aul
15,in der Fahrgaß,Christian,"in Specereyen und Tabac, en detail",Aumann
16,auf der Zeil ohnweit der Post,,"in Wechselgeschäften, Commißionen und Speditionen","Bansa, Remy"
17,in der Fahrgaß,,"in Wech= selgeschäften, Commißionen und Spedition",Bansa und Reuß
18,in der Fahrgaß,Wilhelm,in Spe= cereyen en detail,Bansa
19,in der Saalgaß,Alexander,in engli= schen Wollenwaaren en gros,Baerth
20,am Fahrthor,Johannes,in kurzen englischen Waaren,Barth
21,auf dem Römerberg amFahrthor,,in Gold- u. Silberwaaren,Gebrüder de Bassompiere
22,in der Schnurgaß,Georg Christian,"in Wechselgeschäften, Commißion und Spedition",Baumann und Sohn
23,auf dem Römerberg,Johann Matthäus,"in Wechselgeschäften, Commißi= on und Spedition",Baumann
24,am-Mezgerthor,Matthias,Holzhändler,"Bayer, seel. Wittib"
25,in der Fahrgaß,Johann Balthasar,"in Specereyen, und alle Sorten Rheinwein",Bayer
26,am Fahrthor,Cornelius,in englischen Wollenwaaren en gros,Baumhauer
27,in der Papagay= gaß,Johann Georg,mit Weinen,Beckhaus
28,auf dem Römerberg,Carl,"in Commißion und Spedition, besonders in privilegirten medicinischen Arcanis und ausländischen Weinen, Fayance und Eiderdunen",Behaghel
29,in der Schnurgasse,,mit allen Gattung Trauerwaaren,Beinische Erben
30,in der gros= sen Sandgaß,David,"in Specerey- und Farbwaaren en gros, und eine Eßigsiederey",Behaghe und Schild
31,auf dem Römerberg,Lorenz Franz,"in Plüsches, Siamoisen, seidenen Tüchern, Tabac, Cameelhaar, und Commision und Spedition",Beer
32,an der Catharinen Pfort,Jacob,"in Specereyen,Tabac, Leinen u. Band,en detail",Belly
33,in der Bendergaß,Johann Daniel,"in Flachs und Hanf, en gros",Bender
34,am Fahrthor,Carl Traugott,in kurzen englischen Waaren,Berger
