address,first and middle names,occupation,surname,id
"wohnt am Barfußpfort.
chen, No. 169, s. Felix, J. V.",Joh. Wilh,,Obermann,1
Haynstr. No. 201. f. Frege.,Marc. Chr,,Oehme,2
"neuer Neumarkt, No. 16.",Gottw. Lebr,,Oppe,3
"Catharinenstr., No. 411. Ragg.
Otte und & reffer, & Etreffer",Joh. Henr,,Otte,4
Petersstr. No. 37.,Gottlob,,Panzer,5
ebendas. No. 32.,Joh. Baptista,,Pensa,6
Haynstr. No. 200.,Friedr. Coust,,Peyer,7
s Kramerinnung,Chr. Gottlob,,Pezold,8
Petersir. No. 32.,Joh. Gottfr,,Pfarr,9
"Neichsstrafe, No 538.",Joh Pet. und Carl Heine,,Platzmann,10
f. Handlungsdeput.,Chph. Heinr,,Ploß,11
"Brühl, No. 451.",Joh. Andr,,Pohlenz,12
Petersstr. No. 72.,Chr. Ang,,Preußer,13
"am
Markte, No. 337.",Heinr. Imman,Commissionair,Rabenstein,14
Reichsstr. No. 545.,Martin,,Radius,15
Hayaftr. No. 345.,Joh. Aug,,Ramsthal,16
"Brühl, No. 480.",Joh. Gottfr,,Raspe,17
"am Markt, No. 1.",Jaques,,Ravené,18
ebendas. No. 386.,Friedr. Wilh,,Rehnerr,19
ebendas. No. 2.,Erbm. Trang,,Reichel,20
"Catharinen-
straße, No. 410.",Chr. u. Joh. Gtfr,,Reichenbach,21
s. Reichel.,Joh. Chr,,Richter,22
f Fizeaux.,Adolph Cam,,Richter,23
,Benj. Fr. Chr. a. M. N. 170,,Ries,24
Klosterg. N. 162.,Isaac,,Riquet,25
"Grimm. Gasse, N. 8.",Joh. Choh,,Roder,26
Petersstr. R. 57-,,,Röder,27
"am Markte, N. 172.",Carl Hemr,,Roller,28
"Brühl, N. 447.",Gottfr,,Rosentreter,29
Petersstr. N. 71.,Joh. Bernh,,Rossi,30
f. Ant. Valz.,Carl,,Rostosky,31
Catharinenstr. N. 414.,Friedr,,Rothstein,32
"Grimm. Gasse, N. 578. u wohnt am Markte, N. 170.",Phil. Wilh,,Rousset,33
"am Markte, N. 1.",,,Rummel,34
"unterm Rachhause, Auer.
bachs Hof gegenüber",Wilh. Ludw,,Rumpf,35
Catharinenstr. N. 367.,Joh. Fr. jun,,Sander,36
ebendas,Joh. Gottfr,,Sander,37
"Grimm. Gasse, N. 4.",Joh. Wilh,,Schalle,38
Catharinenstr. N. 376.,Dav,,Schillting,39
"unt. Rathhause, der
Börse gegenüber.",,,Schlemm,40
auf der Reichsstr. N. 605.,Eam. Gotthold,,Schletter,41
"am Markt, N. 386.",Casp. Dietr. Reinh,,Schmidt,42
ebendas. N. 173.,Fr Wilh,,Schmidt,43
ebendas.,Joh. Zach,,Schmidt,44
"Hållische Gasse, N. 464.",Joh. Ulr,,Schneider,45
"s. Kuiper, F. W.",Gottfr Wilh,,Schnetger,46
"Catharinen.
straße, N. 372.",Heinr. Gottlob,,Schoffel,47
s. Handlungsdep.,Ge Wolfg. u,,Schrepsfer,48
s. Anders Wittwe.,Carl Chr. Abrah,,Schroder,49
Haynstr N. 196.,Joh. Chr,,Schroder,50
ebendas. N. 345. s. Kramerinnung.,C. Aug. Heinr,,Schröter,51
s. Brückner.,Joh. Carl,,Schröter,52
am Thomaskirchh. No. 95.,Fr. Chstn,,Schuße,53
Haynstr. No. 197.,Chstn. Fr,,Schulze,54
"Catharinenstraße, No. 376.",Joh. Chph,,Schulze,55
"Brühl, No. 514.",Joh. Chph,,Schumann,56
ebendas. No. 418.,Carl Heinr,,Seltmann,57
Hayustr. No. 340.,Georg Carl,,Speidel,58
in Auerbachs Hofe.,Joh. Dav,,Steinacker,59
"Brühl, No.514.",,,Steinbrenner,60
Catharinenstr. No. 374-,Ge. Chph,,Stirner,61
"Grimm. Gasse, No. 591.
und wohut ebendas. N. 608.",Theod. Gottlob,,Stockel,62
s. Handlungsdep.,Joh. Heinr,,Stoll,63
"an! Markte, No. 1.",Jac. Fr,,Straub,64
"s. Otto, Joh. Hinr.",Joh. Chstn,,Streffer,65
"Barfußgåsch, N. 236.",Joh. Wilh,,Striegel,66
Haynstr. No. 207.,Gotth. Ehrenfr,,Sußmilch,67
"Hintergasse, No. 1236.
und steht Messensz. a. d. Catharinenstr. No. 410.",Joh. Gottlob,,Teubner,68
,Chstn. Friedr,,Teubner,69
"5 ner, Grimm. G. N. 608.",Carl Aug,,Teubner,70
"Brühl, No. 356.",Ludwig Heinr,,Teutscher,71
in Auerbachs Hof.,Joh. Aug. Siegm,,Teucher,72
in Auerbachs Hof.,Joh. Heinr,,Thieriot,73
"am Markte, No. 172.",Chr. Fried,,Tilly,74
Reichsstr. No. 584.,Joh. Aug,,Tröger,75
"Brühl, No. 510.",Wilh. Gottl,,Troissch,76
,Fr. Aug,,Valentin,77
