address,first and middle names,id,occupation,surname,page_number
auf dem Römerberg,,1,"alle Gattung Strümpf Tücher, und Modewaaren",Gebrüder Aleins,1
unter der neuen Kräm,Alexius,2,in französischen Seiden= und Modewaaren,Silvester u. Sohn Senior,1
unter der neuen Kräm,Franz,3,in Wollenwaaren; und auch ächten Tüchern en gros,von Aichen,1
hinter dem Dom,,4,in Specereyen en gros,Gebrüder Ammelburg,1
auf der Friedberger Gaß,Georg Wolfgang,5,in Specerey=und Fettwaaren,"Ammelburg, seel. Frau Wittib",1
in der Döhngesgaß,,6,"in Specerey- und Farbwaaren, en gros und en detail",Gebrüder Andres,2
in der Mainzergaß,,7,,Andresische Buchhandlung,2
in der Döhngesgaß,,8,in französischen und englischen Galanterie- und Modenwaaren en gros,Gebrüder Arbauer,2
auf dem Pfarreisen,Georg Christoph,9,"mit wollenen Strümpf und Kappen, seiden und brodirten Halstücher en detail",Arnold,2
im Nürnberger Hof,Johann Paul,10,"Hochgräfl. Erbachischer Agent, in Leder, und Lotterie-Collecten",Arnold,2
in der Buchgaß,Georg Bernhard,11,hat eine Cassafabrique,Atrope,2
auf dem Markt,Johann Christoph,12,"in Specereyen, en gros und en detail",Augstell,2
in der Borngaß,Matthias Joseph,13,"in Specerey- und italiänischen Waaren, en detail",Auer,2
an der Constabler Wach,Peter,14,in Eisenwaaren,Aul,2
in der Fahrgaß,Christian,15,"in Specereyen und Tabac, en detail",Aumann,2
auf der Zeil ohnweit der Post,Remy,16,"in Wechselgeschäften, Commißionen und Speditionen",Bansa,2
in der Fahrgaß,,17,"in Wechselgeschäften, Commißionen und Spedition",Bansa und Reuß,2
in der Fahrgaß,Wilhelm,18,in Specereyen en detail,Bansa,2
in der Saalgaß,Alexander,19,in englischen Wollenwaaren en gros,Baerth,2
am Fahrthor,Johannes,20,in kurzen englischen Waaren,Birch,3
auf dem Römerberg am Fahrthor,,21,in Gold- u. Silberwaaren,Gebrüder de Bassombiere,3
in der Schnurgass,,22,"in Wechselgeschäften, Commission und Spedition",Georg Christian Baumann und Sohn,3
auf dem Römerberg,Johann Matthäus,23,"in Wechselgeschäften, Commission und Spedition",Baumann,3
am Meyerthor,Matthias,24,Holzhändler,Bayer,3
in der Fahrgass,Johann Balthasar,25,"in Specereyen, und alle Sorten Rheinwein",Bayer,3
am Fahrthor,Cornelius,26,in englischen Wollenwaaren en gros,Baumhauer,3
in der Papagaygass,Johann Georg,27,mit Weinen,Beckhaus,3
auf dem Römerberg,Carl,28,"in Commission und Spedition, besonders in privilegirten medicinischen Arcanis und ausländischen Weinen, Fayance und Eiderdunen",Behaghel,3
in der Schnurgass,,29,mit allen Gattung Trauerwaaren,Beinsche Erben,3
in der grossen Sandgass,,30,"in Specerey- und Farbwaaren en gros, und eine Eßigsiederey",David Behaghel und Schür,3
auf dem Römerberg,Lorenz Franz,31,"in Plüschen, Siamoisen, seidenen Tüchern, Tabac, Cameelhaar, und Commission und Spedition",Beer,3
an der Catharinen Pfort,Jacob,32,"in Specereyen, Tabac, Leinen u. Band, en detail",Belly,3
in der Bendergass,Johann Daniel,33,"in Flachs und Hanf, en gros",Bender,3
am Fahrthor,Carl Traugott,34,in kurzen englischen Waaren,Berger,3
