address,first and middle names,occupation,surname,id
"in der Catharinenstraße, in Curs tiußens Hause.",Joh Gotthelf,,Lange,1
"auf dem Thomaskirch hofe, in Baumeister Richters Hause.",Christian Fürchtegott,,Leypold,2
"auf der Reichsstraße, im Mieri ſchen Hause.",Joh August,,König,3
"auf der Petersstraße, in D. Joh. Val. Schmidts Hause.",Christian Friedrich,,Wechsler,4
im Peters. Zwinger.,Christian,Küster Emeritus,Gunther,5
,Joh Christoph,Substitut,Seibig,6
ſ. Naths Collegium.,Caspar,Vorsteher,Richter,7
neben dem Waysenhause.,Joh Heinrich,Prediger,Scherzer,8
"in der Nicolasstraße, in Dam- hohns Hause.",Joh Sam,Cantor,Kühn,9
in dem Wayfen Hause.,George Andreas,Kirchen-Famulus,Wacker,10
eben daselbst.,Michael,Thürmer,Fugmann,11
s. Raths. Collegium.,Ernst Gottlieb,Baumeister,Büstner,12
in der Pfarrwohnung daselbst.,Christian Sam,Prediger,Forbiger,13
"in der Nicolasstraße, in D. Wagners Hause.",Johann George,Organist,Hille,14
"auf der Bettelgasse, in Nostels Hause.",Joh Gottfried,Pricentor,Blein,15
"auf dem Grimmischen Steinwege, im Waltherischen Hause",Gottfried,Küster,Heinze,16
fiche Raths - Collegium.,Hartmann,Baumeister,Winkler,17
"am Mühlgraben, in der Pfarrwohnung.",Jeremias,Priester,Friederici,18
Der Hausvater im Lazarethe,Joh Christ,Rüster und Präcentor,Sachse,19
"in der Grinmischen Gasse, im Sulzbergeris schen Hause.",Louis,Prediger,Pajon,20
"auf der Reichsstraße, in der goldenen Nose.",Joh,Cantor,Arment,21
siehe Raths-Collegium.,Jacob,Vice. Canzler und Bürgermeister,Born,22
auf der Nicolasschule.,Christian Gottlob,Rector,Haltaus,23
eben daselbst.,Gottlieb,Conrector,Adami,24
"in der Nicolasstraße, im Jacobi schen Hause.",Joh Gottfr,Tertius,Kade,25
"im Barfußgåßchen, in Ulrichs Hause-.",Carl August,Cantor,Thieme,26
"im Brühle, im schwarzen Creuße.",Joh Christoph,Collegen,Thiele,27
"in der Nicolasstraße, in Mans golds Hause.",Joh Zacharias,,Franke,28
"in der Ritterstraße, in Jes nichens Hause.",Joh Gottfried,,Schwalbe,29
siehe Raths Collegium.,Carl Friedrich,Hofrath und Proconsul,Trier,30
s. die Professoren.,Joh August,Rector,Ernesti,31
auf der Thomasschule.,Johann Friedrich,Conrector,Fischer,32
auf der Thomasschule.,Gottlob,Cantor,Harrer,33
"in der Burgstraste, in Radiks Hause.",Abraham,Tertius,Kriegel,34
in der Burgstr. in Glauchens Haus.,Gabr,Quartus,Matthesius,35
"im Schustergåskchen, in Dottens Hause",George,Baccalaureus Funerum,Irmler,36
auf dem Pauliner Collegio.,Friedrich,Collegen,Breunigk,37
"auf dem neuen Kirchhofe, inocks Haus.",Adam,,Meyer,38
s. die Professoren.,Anton Wilhelm,Schul-Medicus,Plaz,39
"auf der Petersstraße, im Hohman- nischen Hause.",,Buchhändlern,Arkstee und Merkus,40
