address,first and middle names,id,occupation,surname,page_number
auf dem Römerberg,,1,"alle Gattung Strümpf Tücher, und Modewaaren.",GebrüderAlleins,1
unter der neuen Krám,Silvester u. Sohn Senior,2,in französischen Seiden- nud Modewaaren.,Aleßina,1
unter der neuen Krám,Franz,3,"in Wollenwaaren, und auch Achner Tüchern en gros.",von Alphen,1
hinter dem Dom,Gebrüder,4,in Specereyen en gros.,Ammelburg,1
auf der Friedberger Gaß.,Georg Wolfgang,5,in Specerey- und Fettwaaren,Ammelburg,1
in der Döngesgaß,,6,"in Specerey - und Farbwaaren, en gros und en detail.",Gebrüder Andreä,2
in der Mainzergaß,,7,,Andreäische Buchhandlung,2
in der Döngesgaß,,8,in französischen und englischen Galanterie - und Modewaaren en gros.,Gebrüder Arbauer,2
auf dem Pfarreisen,Georg Christoph,9,"mit wollenen Strümpf und Kappen, seiden und brodirten Halstücher en detail.",Arnold,2
im Nürnberger Hof,Johann Paul,10,"Hochgräfl. Erbachischer Agent, in Leder, und Lotterie - Collecten.",Arnoldi,2
in der Buchgaß,Georg Bernhard,11,hat eine Caffafabrique.,Artope,2
auf dem Markt,Johann Christoph,12,"in Specereyen, en gros und en detail.",Augstell,2
in der Borngaß,Matthias Joseph,13,"in Specerey - und italiänischen Waaren, en detail.",Auer,2
an der Constabler Wach,Peter,14,in Eisenwaaren.,Aul,2
in der Fahrgaß,Christian,15,"in Specereyen und Tabac, en detail.",Aumann,2
auf der Zeil ohnweit der Post,,16,"in Wechselgeschäften, Commissionen und Speditionen.","Bansa, Remy",2
in der Fahrgaß,,17,"in Wechselgeschäften, Commissionen und Spedition.",Bansa und Reuß,2
in der Fahrgaß,Wilhelm,18,in Specereyen en detail.,Bansa,2
in der Saalgaß,Alexander,19,in englischen Wollenwaaren en gros.,Baerth,2
am Fahrthor,Johannes,20,in kurzen englischen Waaren,Barth,3
auf dem Römer=berg am Fahrthor,,21,in Gold= u. Silberwaaren,Gebrüder de Bassompiere,3
in der Schnurgaß,Georg Christian,22,"in Wechselgeschäften, Com=mißion und Spedition",Baumann und Sohn,3
auf dem Römerberg,Johann Matthäus,23,"in Wechselgeschäften, Commißi=on und Spedition",Baumann,3
am Metzgerthor,Matthias,24,Holzhänd=ler,"Bayer, seel. Wittib",3
in der Fahrgaß,Johann Balthasar,25,"in Specereyen, und alle Sorten Rheinwein",Bayer,3
am Fahrthor,Cornelius,26,in englischen Wol=lenwaaren en gros,Baumhauer,3
in der Papagay=gaß,Johann Georg,27,mit Weinen,Beckhaus,3
auf dem Römerberg,Carl,28,"in Commission und Spedition, besonders in privilegirten medicinischen Arcanis und aus=ländischen Weinen, Fayance und Eiderdunen",Behaghel,3
in der Schnurgasse,,29,mit allen Gattung Trauerwaaren,Beinsche Erben,3
in der gros=sen Sandgaß,David,30,"in Specerey= und Farbwaa=ren en gros, und eine Eßigsiederey",Behaghe und Schild,3
auf dem Römerberg,Lorenz Franz,31,"in Plüsches, Siamoisen, seidenen Tüchern, Ta=bac, Cameelhaar, und Commission und Spe=dition",Beer,3
an der Catharinen Pfort,Jacob,32,"in Specereyen, Tabac, Leinen u. Band, en detail",Belly,3
in der Bendergaß,Johann Daniel,33,"in Flachs und Hanf, en gros",Bender,3
am Fahrthor,Carl Traugott,34,in kurzen englischen Waaren,Berger,3
