first and middle names,surname,occupation,address,id
Gebrüder,Alleins,"alle Gattung Strümpf Tücher, und Mode= waaren.",auf dem Römerberg,1
Silvester,Aleßina,in französischen Seiden- und Modewaaren.,unter der neuen Kram,2
Franz,von Alphen,"in Wollenwaaren,  und auch Achner Tüchern en gros.",unter der neuen Kräm,3
Gebrüder,Ammelburg,in Specereyen en gros.,hinter dem Dom,4
Georg Wolfgang,Ammelburg,in Specerey- und Fettwaaren,auf der Friedberger Gaß.,5
Gebrüder,Andreä,"in Specerey = und Farbwaaren,  en gros und en detail.",in der Döngesgaß,6
,Andreäische Buchhandlung,,in der Mainzergaß.,7
Gebrüder,Arbauer,in französischen und englischen Galanterie= und Modewaaren en gros.,in der Döngesgaß,8
Georg Christoph,Arnold,"mit wollenen Strumpf und Kappen,  seiden und brodirten Halstucher en detail.",auf dem Pfarr= eisen,9
Johann Paul,Arnoldi,"in Leder,  und Lotterie = Collecten.",im Nürnberger Hof,10
Georg Bernhard,Artope,hat eine Caffafabrique.,in der Buchgaß,11
Johann Christoph,Augstell,"in Specereyen,  en gros und en detail.",auf dem Markt,12
Matthias Joseph,Auer,"in Specerey= und italianischen Waaren, en detail.",in der Borngaß,13
Peter,Aul,in Ei= senwaaren.,an der Constabler Wach,14
Christian,Aumann,"in Specereyen und Tabac,  en detail.",in der Fahrgaß,15
 Remy,Bansa,"in Wechselgeschäften,  Commißionen und Speditionen.",auf der Zeil ohnweit der Post,16
,Bansa und Reuß,"in Wech= selgeschäften,  Commißionen und Spedition.",in der Fahrgaß,17
Wilhelm,Bansa,in Spe= cereyen en detail.,in der Fahrgaß,18
Alexander,Baerth,in engli= schen Wollenwaaren en gros.,in der Saalgaß,19
Johannes,Barth,in kurzen englischen Waaren.,am Fahrthor,20
Gebrüder,de Bassompiere,in Gold- u. Silberwaaren.,auf dem Römerberg amFahrthor,21
Georg Christian,Baumann,"in Wechselgeschäften,  Commißion und Spedition.",in der Schnurgaß,22
Johann Matthäus,Baumann,"in Wechselgeschäften,  Commißi= on und Spedition.",auf dem Römerberg,23
Matthias,Bayer,Holzhändler,am-Mezgerthor.,24
Johann Balthasar,Bayer,"in Specereyen,  und alle Sorten Rheinwein.",in der Fahrgaß,25
Cornelius,Baumhauer,in englischen Wollenwaaren en gros,am Fahrthor.,26
Johann Georg,Beckhaus,mit Weinen.,in der Papagay= gaß,27
Carl,Behaghel,"in Commißion und Spedition,  besonders in privilegirten medicinischen Arcanis und ausländischen Weinen,  Fayance und Eiderdunen.",auf dem Römerberg,28
,Beinische Erben,mit allen Gattung Trauerwaaren.,in der Schnurgasse,29
David,Behaghe und Schild,"in Specerey- und Farbwaaren en gros,  und Commision und Spedition,  und eine Eßigsiederey.",in der gros= sen Sandgaß,30
Lorenz Franz,Beer,"in Plüsches,  Siamoisen,  seidenen Tüchern,  Tabac,  Cameelhaar",auf dem Römerberg,31
Jacob,Belly,"in Specereyen, Tabac,  Leinen u. Band, en detail.",an der Catharinen Pfort,32
Johann Daniel,Bender,"in Flachs und Hanf,  en gros.",in der Bendergaß,33
Carl Traugott,Berger,in kurzen englischen Waaren.,am Fahrthor,34
